gene_name,ingredient_name
ADHFE1,Isoleucine
TMPRSS12,Isoleucine
TMPRSS2,Isoleucine
HMGCLL1,Isoleucine
MASP2,Isoleucine
PSME4,Isoleucine
F11,Isoleucine
PSMB11,Isoleucine
PSMD14,Isoleucine
UBA52,Isoleucine
PSMD13,Isoleucine
HLA-B,Isoleucine
ERAP2,Isoleucine
PRSS48,Isoleucine
PSMC6,Isoleucine
PVR,Isoleucine
POLR2F,Isoleucine
TMPRSS7,Isoleucine
MST1,Isoleucine
PSMA1,Isoleucine
TMPRSS4,Isoleucine
CFB,Isoleucine
TMPRSS13,Isoleucine
PSMD9,Isoleucine
HPR,Isoleucine
BCAT1,Isoleucine
PRSS58,Isoleucine
CTRL,Isoleucine
KLK15,Isoleucine
KLK13,Isoleucine
KLK11,Isoleucine
CFTR,L-HISTIDINE
NME1,L-HISTIDINE
PSMA4,L-HISTIDINE
PSMC4,L-HISTIDINE
PSMD5,L-HISTIDINE
SIRT1,L-HISTIDINE
PSMD8,L-HISTIDINE
PSMA3,L-HISTIDINE
PSME2,L-HISTIDINE
PSMD10,L-HISTIDINE
PSMD7,L-HISTIDINE
HMOX2,L-HISTIDINE
GSR,L-HISTIDINE
HAMP,L-HISTIDINE
PON1,L-HISTIDINE
PALS2,L-HISTIDINE
SEC61B,L-HISTIDINE
ACTA2,L-HISTIDINE
N/A,L-HISTIDINE
LAP3,L-HISTIDINE
SLC15A3,L-HISTIDINE
CLEC2B,L-HISTIDINE
GAPDH,L-HISTIDINE
HARS2,L-HISTIDINE
LNPEP,L-HISTIDINE
HEMK1,L-HISTIDINE
ATIC,L-HISTIDINE
MSX2,L-HISTIDINE
CAT,L-HISTIDINE
SEC61A1,L-HISTIDINE
VIL1,L-HISTIDINE
SIRT2,L-HISTIDINE
CARD10,L-HISTIDINE
H3-3B,L-HISTIDINE
CLEC10A,L-HISTIDINE
DPH2,L-HISTIDINE
AVIL,L-HISTIDINE
PSMB7,L-HISTIDINE
HAL,L-HISTIDINE
LYZ,L-HISTIDINE
PSMC1,L-HISTIDINE
PSMA6,L-HISTIDINE
SLC7A5,L-HISTIDINE
PALS1,L-HISTIDINE
PSMD11,L-HISTIDINE
BLMH,L-HISTIDINE
PSMB1,L-HISTIDINE
METTL2B,L-HISTIDINE
DPH1,L-HISTIDINE
LIG1,L-HISTIDINE
TYR,L-HISTIDINE
EIF2AK4,L-HISTIDINE
CAPG,L-HISTIDINE
BCHE,L-HISTIDINE
PSMD3,L-HISTIDINE
PRDX5,L-HISTIDINE
SLC15A4,L-HISTIDINE
HDC,L-HISTIDINE
MPP2,L-HISTIDINE
SLC39A6,L-HISTIDINE
PSMB6,L-HISTIDINE
PSMA5,L-HISTIDINE
RPS27A,L-HISTIDINE
ZKSCAN7,L-HISTIDINE
GGCT,L-HISTIDINE
DIP2C,L-HISTIDINE
VILL,L-HISTIDINE
CA2,L-HISTIDINE
LRGUK,L-HISTIDINE
ACTR1B,L-HISTIDINE
ACTC1,L-HISTIDINE
PSMB4,L-HISTIDINE
PSMC2,L-HISTIDINE
PSME3,L-HISTIDINE
DCD,L-HISTIDINE
ACTG2,L-HISTIDINE
ALPG,L-HISTIDINE
ALB,L-HISTIDINE
PSMD6,L-HISTIDINE
ERAP1,L-HISTIDINE
